TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2024-07-18,2980.62,0.0113258506263487,7.2024,18.0,9.13,4.0
2024-07-19,3008.24,0.0092665284403916,7.2024,18.0,9.13,4.0
2024-07-22,3024.54,0.0054184506555328,7.2024,18.0,9.13,4.0
2024-07-23,3028.01,0.0011472819007187,7.2024,18.0,9.13,4.0
2024-07-24,3051.76,0.0078434351273608,7.2024,18.0,9.13,4.0
2024-07-25,3041.37,-0.003404592759588,7.2024,18.0,9.13,4.0
2024-07-26,2993.23,-0.0158283931254664,7.2024,18.0,9.13,4.0
2024-07-29,2906.95,-0.0288250485261741,7.2024,18.0,9.13,4.0
2024-07-30,2944.78,0.0130136397254856,7.2024,18.0,9.13,4.0
2024-07-31,2942.68,-0.0007131262776847,7.2024,18.0,9.13,4.0
2024-08-01,2935.69,-0.0023753857028286,8.2024,18.0,9.05,4.0
2024-08-02,2899.0,-0.0124979136080444,8.2024,18.0,9.05,4.0
2024-08-05,2828.72,-0.0242428423594343,8.2024,18.0,9.05,4.0
2024-08-06,2830.75,0.0007176390735033,8.2024,18.0,9.05,4.0
2024-08-07,2874.94,0.0156107038770643,8.2024,18.0,9.05,4.0
2024-08-08,2852.51,-0.0078019019527363,8.2024,18.0,9.05,4.0
2024-08-09,2848.29,-0.0014793988452276,8.2024,18.0,9.05,4.0
2024-08-12,2844.77,-0.0012358292168282,8.2024,18.0,9.05,4.0
2024-08-13,2884.6,0.0140011319017003,8.2024,18.0,9.05,4.0
2024-08-14,2871.11,-0.0046765582749773,8.2024,18.0,9.05,4.0
2024-08-15,2838.11,-0.0114938124976055,8.2024,18.0,9.05,4.0
2024-08-16,2828.2,-0.0034917603616492,8.2024,18.0,9.05,4.0
2024-08-19,2775.64,-0.018584258539,8.2024,18.0,9.05,4.0
2024-08-20,2768.42,-0.0026012018849705,8.2024,18.0,9.05,4.0
2024-08-21,2768.14,-0.0001011407228672,8.2024,18.0,9.05,4.0
2024-08-22,2725.75,-0.0153135318300374,8.2024,18.0,9.05,4.0
2024-08-23,2662.47,-0.0232156287260387,8.2024,18.0,9.05,4.0
2024-08-26,2763.75,0.0380398652379183,8.2024,18.0,9.05,4.0
2024-08-27,2730.38,-0.0120741745816371,8.2024,18.0,9.05,4.0
2024-08-28,2699.98,-0.0111339813505813,8.2024,18.0,9.05,4.0
2024-08-29,2708.27,0.003070393114023,8.2024,18.0,9.05,4.0
2024-08-30,2650.32,-0.0213974234474405,8.2024,18.0,9.05,4.0
2024-09-02,2545.07,-0.0397121856983307,9.2024,19.0,8.63,4.0
2024-09-03,2524.38,-0.008129442412193,9.2024,19.0,8.63,4.0
2024-09-04,2605.15,0.0319959752493681,9.2024,19.0,8.63,4.0
